track,scrobbles,user
Rush - Red Barchetta - Live In Canada/1980,110,JBreidfjord
Yes - Everydays - Single Version,110,JBreidfjord
Queens of the Stone Age - Go With the Flow,109,JBreidfjord
Queens of the Stone Age - I Sat by the Ocean,109,JBreidfjord
Radiohead - Electioneering,109,JBreidfjord
"Rush - Beneath, Between & Behind",109,JBreidfjord
Rush - Jacob's Ladder - Live In The UK/1980,109,JBreidfjord
Boston - Let Me Take You Home Tonight,108,JBreidfjord
Dean Friedman - Ariel,108,JBreidfjord
Led Zeppelin - Dazed and Confused,108,JBreidfjord
Queens of the Stone Age - Keep Your Eyes Peeled,108,JBreidfjord
Rush - YYZ - Live In Canada/1980,108,JBreidfjord
Yes - Every Little Thing - Remastered,108,JBreidfjord
Yes - Roundabout - Remastered Version,108,JBreidfjord
Queens of the Stone Age - Do It Again,107,JBreidfjord
Rush - Headlong Flight,107,JBreidfjord
Rush - Kid Gloves,107,JBreidfjord
Billy Joel - If I Only Had The Words (To Tell You),106,JBreidfjord
Billy Joel - Just The Way You Are,106,JBreidfjord
King Gizzard & The Lizard Wizard - People-Vultures,106,JBreidfjord
Queens of the Stone Age - The Vampyre of Time and Memory,106,JBreidfjord
Rush - Closer To The Heart - Live In The UK/1980,106,JBreidfjord
Rush - Red Sector A,105,JBreidfjord
Twenty One Pilots - Screen,105,JBreidfjord
Billy Joel - Honesty,104,JBreidfjord
Rush - The Necromancer - Into The Darkness / Under The Shadow / Return Of The Prince - Medley/Album Version,104,JBreidfjord
The Alan Parsons Project - Pyramania,104,JBreidfjord
Yes - Total Mass Retain - Remastered Single Version,104,JBreidfjord
"Billy Joel - Lullabye (Goodnight, My Angel)",103,JBreidfjord
Boston - More Than a Feeling,103,JBreidfjord
Carly Rae Jepsen - Julien,103,JBreidfjord
Queens of the Stone Age - Gonna Leave You,103,JBreidfjord
Queens of the Stone Age - Song For The Dead,103,JBreidfjord
Billy Joel - Souvenir,102,JBreidfjord
Talking Heads - This Must Be the Place (Naive Melody) - 2005 Remaster,102,JBreidfjord
twenty one pilots - Semi-Automatic,102,JBreidfjord
Yes - Looking Around - Remastered,102,JBreidfjord
Billy Joel - Get It Right the First Time,101,JBreidfjord
Billy Joel - Rosalinda's Eyes,101,JBreidfjord
Billy Joel - Tell Her About It,101,JBreidfjord
King Gizzard & The Lizard Wizard - Invisible Face,101,JBreidfjord
Queens of the Stone Age - First It Giveth,101,JBreidfjord
Queens of the Stone Age - God Is in the Radio,101,JBreidfjord
Billy Joel - Turn Around,100,JBreidfjord
The Beatles - Oh! Darling - Remastered,100,JBreidfjord
Yes - Sound Chaser - Single Edit,100,JBreidfjord
Billy Joel - Roberta,98,JBreidfjord
Billy Joel - Uptown Girl,98,JBreidfjord
Blue Öyster Cult - (Don't Fear) The Reaper,98,JBreidfjord
Boston - Smokin',98,JBreidfjord
Rush - The Body Electric,98,JBreidfjord
Rush - Xanadu - Live In Canada/1980,98,JBreidfjord
Yes - Beyond And Before - Remastered,98,JBreidfjord
Billy Joel - Careless Talk,97,JBreidfjord
Billy Joel - My Life,97,JBreidfjord
Boston - Rock & Roll Band,97,JBreidfjord
Carly Rae Jepsen - Cut to the Feeling,97,JBreidfjord
Led Zeppelin - Good Times Bad Times,97,JBreidfjord
Queens of the Stone Age - I Appear Missing,97,JBreidfjord
"Rush - Beneath, Between And Behind",97,JBreidfjord
Billy Joel - You May Be Right,96,JBreidfjord
Boston - Foreplay / Long Time,96,JBreidfjord
Queens of the Stone Age - The Sky Is Fallin',96,JBreidfjord
Billy Joel - I've Loved These Days,95,JBreidfjord
Billy Joel - Somewhere Along The Line,95,JBreidfjord
Blue Öyster Cult - Burnin' for You,95,JBreidfjord
King Gizzard & The Lizard Wizard - Big Fig Wasp,95,JBreidfjord
King Gizzard & The Lizard Wizard - Mr. Beat,95,JBreidfjord
Queen - Good Old-Fashioned Lover Boy - Remastered 2011,95,JBreidfjord
Queen - I Want to Break Free,95,JBreidfjord
twenty one pilots - The Judge,95,JBreidfjord
"Rush - Beneath, Between & Behind - Live In The UK/1980",94,JBreidfjord
The Cars - My Best Friend's Girl,94,JBreidfjord
The Zombies - I Want Her She Wants Me,94,JBreidfjord
Yes - The Gates of Delirium - Remastered,94,JBreidfjord
Arcade Fire - Signs of Life,93,JBreidfjord
Billy Joel - She's Right On Time,93,JBreidfjord
Boston - Peace of Mind,92,JBreidfjord
King Gizzard & The Lizard Wizard - Evil Death Roll,92,JBreidfjord
King Gizzard & The Lizard Wizard - Gamma Knife,92,JBreidfjord
Royal Blood - Out of the Black,92,JBreidfjord
Billy Joel - Big Shot,91,JBreidfjord
Billy Joel - Getting Closer,91,JBreidfjord
Billy Joel - You're My Home,91,JBreidfjord
Catfish and the Bottlemen - Hourglass,91,JBreidfjord
Kansas - Dust in the Wind,91,JBreidfjord
King Gizzard & The Lizard Wizard - Road Train,91,JBreidfjord
Mayday Parade - I'd Rather Make Mistakes Than Nothing at All,91,JBreidfjord
Radiohead - Paranoid Android,91,JBreidfjord
Talking Heads - And She Was - 2005 Remaster,91,JBreidfjord
twenty one pilots - Goner,91,JBreidfjord
Billy Joel - Close to the Borderline,90,JBreidfjord
Parquet Courts - Almost Had To Start A Fight/In And Out of Patience,90,JBreidfjord
Radiohead - Let Down,90,JBreidfjord
Supertramp - Give a Little Bit,90,JBreidfjord
The 1975 - Love Me,90,JBreidfjord
Yes - Heart Of The Sunrise - Remastered Version,90,JBreidfjord
Carly Rae Jepsen - Party for One,89,JBreidfjord
Queens of the Stone Age - Hanging Tree,89,JBreidfjord
Billy Joel - Ain't No Crime,88,JBreidfjord
Billy Joel - And So It Goes,88,JBreidfjord
Billy Joel - Half A Mile Away,87,JBreidfjord
Billy Joel - The Longest Time,87,JBreidfjord
Boston - Hitch a Ride,87,JBreidfjord
Parquet Courts - Mardi Gras Beads,87,JBreidfjord
Radiohead - Lucky,87,JBreidfjord
The Smiths - This Charming Man - 2011 Remaster,87,JBreidfjord
ABBA - Why Did It Have to Be Me?,86,JBreidfjord
Billy Joel - A Room of Our Own,86,JBreidfjord
Billy Joel - Say Goodbye to Hollywood,86,JBreidfjord
Queens of the Stone Age - Another Love Song,86,JBreidfjord
ABBA - Hasta Manana,85,JBreidfjord
Arcade Fire - Everything Now,85,JBreidfjord
Billy Joel - Big Man On Mulberry Street,85,JBreidfjord
Mayday Parade - Angels,85,JBreidfjord
Queens of the Stone Age - Fairweather Friends,85,JBreidfjord
Rush - Marathon,85,JBreidfjord
Twenty One Pilots - Lane Boy,85,JBreidfjord
Yes - Owner of a Lonely Heart,85,JBreidfjord
ABBA - Waterloo,84,JBreidfjord
Billy Joel - An Innocent Man,84,JBreidfjord
Billy Joel - Last of the Big Time Spenders,84,JBreidfjord
Billy Joel - The Entertainer,84,JBreidfjord
Carly Rae Jepsen - Boy Problems,84,JBreidfjord
Carly Rae Jepsen - Let's Get Lost,84,JBreidfjord
Queens of the Stone Age - Smooth Sailing,84,JBreidfjord
Rush - Rivendell,84,JBreidfjord
Supertramp - Breakfast in America,84,JBreidfjord
Arcade Fire - Chemistry,83,JBreidfjord
Billy Joel - Piano Man,83,JBreidfjord
Boston - Something About You,83,JBreidfjord
Parquet Courts - Total Football,83,JBreidfjord
Queens of the Stone Age - …Like Clockwork,83,JBreidfjord
Queens of the Stone Age - Mosquito Song,83,JBreidfjord
Radiohead - Airbag,83,JBreidfjord
Radiohead - Karma Police,83,JBreidfjord
Tom Petty and The Heartbreakers - Don't Do Me Like That,83,JBreidfjord
Arcade Fire - Creature Comfort,82,JBreidfjord
Carly Rae Jepsen - Everything He Needs,82,JBreidfjord
Mayday Parade - Just Out Of Reach,82,JBreidfjord
Queens of the Stone Age - Make It Wit Chu,82,JBreidfjord
Rush - A Passage To Bangkok - Live In The UK/1980,82,JBreidfjord
Supertramp - Casual Conversations,82,JBreidfjord
Billy Joel - A Matter Of Trust,81,JBreidfjord
Billy Joel - Scandinavian Skies,81,JBreidfjord
Billy Joel - Stiletto,81,JBreidfjord
Billy Joel - The Great Wall Of China,81,JBreidfjord
Foo Fighters - Everlong,81,JBreidfjord
Queens of the Stone Age - Song For The Deaf,81,JBreidfjord
