artist,total_plays,jon,ico,matt,austin
Sufjan Stevens,159180663,37,103,1657,2
The Who,82623493,37,0,0,3
Otis Redding,28430097,36,0,0,0
Dean Martin,20210836,35,0,4,8
DragonForce,25944226,35,0,0,0
Rick Springfield,3853400,35,0,0,2
Bob Seger,7444427,34,0,1,8
Michael Jackson,156694633,34,54,0,0
Fuzz,2425759,32,0,430,1
Jim Croce,8007566,32,0,1,34
Tempesst,135660,32,0,0,0
The Outfield,4215254,32,0,0,0
$uicideboy$,64405891,31,36,0,0
Aurora,22452329,31,0,0,0
Mild High Club,7105989,31,0,893,3
The Chainsmokers,36271491,31,37,0,0
Fats Waller,2387620,30,0,1,0
Moondog,4564901,30,0,0,0
starbenders,244805,30,0,0,0
Beach House,98491878,29,90,518,0
John Denver,11273177,29,0,1,27
Ralph,749341,29,308,0,0
Steve Miller Band,13081233,29,0,0,19
Foster the People,71170424,28,0,0,0
Cage the Elephant,53527908,27,48,0,0
Fugazi,31432393,27,1398,3575,1
Pyotr Ilyich Tchaikovsky,19440403,27,19,0,0
The Association,1755279,27,0,0,0
Father John Misty,25757432,26,51,14,0
James Taylor,16058264,26,0,0,16
Lord Huron,16633324,26,79,5,0
Real Estate,23672607,26,0,163,2
Soccer Mommy,9648919,26,1011,0,2
George Harrison,28244352,25,0,0,0
Iceage,8477947,25,2554,883,2
Neil Young,75030631,25,32,19,10
Stephen Stills,2076015,25,0,0,0
AC/DC,153079116,24,0,1,4
alt-J,82001438,24,21,0,0
Bones,41132156,24,0,0,0
John Mellencamp,8644227,24,0,1,18
OneRepublic,75609458,24,0,0,0
The Stampeders,129291,24,0,3,12
Bruno Mars,85621163,23,22,1,1
Faces,4896061,23,0,2,5
Grizzly Bear,59710593,23,28,1279,5
Kenny Loggins,7511506,23,0,0,2
Psychedelic Porn Crumpets,2970195,23,0,13,0
The Monkees,11258692,23,0,3,2
The Velvet Underground,74851991,23,694,117,0
Tool,142453232,23,0,385,0
Bloodhound Gang,35866900,22,0,0,0
Cream,29035477,22,0,2,0
Dexys Midnight Runners,6723950,22,0,1,0
Eagles,42911426,22,0,6,58
Elvis Presley,83179071,22,0,0,4
MF DOOM,45112875,22,52,4,0
The Cure,190581624,22,90,0,0
Thrice,43062097,22,366,315,0
Bee Gees,30313767,21,0,0,2
CHVRCHES,48233503,21,0,0,0
Coldplay,432984184,21,0,3,1
America,13396445,20,0,7,4
Bill Withers,18228574,20,0,1,3
Drake,258597135,20,0,0,71
Frank Sinatra,81334621,20,0,0,21
Green Day,221227674,20,0,6,0
Marvin Gaye,41359491,20,0,0,8
Rod Stewart,20738724,20,0,0,3
U.S. Girls,4271184,20,349,0,0
13th Floor Elevators,5402553,19,0,2,0
Kiss,52662360,19,0,0,0
Stevie Wonder,53360755,19,0,42,9
Ty Segall,14674057,19,0,13,0
Crumb,7310941,18,0,338,2
Donnie Iris,245812,18,0,0,0
Squid,2354278,18,48,0,0
The Dear Hunter,13898947,18,0,0,0
The Murlocs,1695208,18,0,5,0
The Pentangle,1781011,18,0,0,0
Frank Ocean,194422807,17,0,1030,3
Haircut 100,874334,17,0,0,0
Heart,15047177,17,0,0,1
Poison,10661705,17,0,0,0
Redbone,3281651,17,0,0,0
The Killers,239034947,17,51,7,5
The Yardbirds,10458753,17,0,3,0
